Target Hero Keyword,Hero Volume,Page Type,Current / New Page,SC Current Position,Winnability,Realistic Traffic /mo,Plan Status,Page to Beat,Page to Beat Rank
cotton pillowcases,8100,New,https://sundaycitizen.co/collections/cotton-pillowcase,,high,972,Beat competitor,https://us.pigletinbed.com/collections/cotton-pillowcases,#1 us.pigletinbed.com (for 'cotton pillowcase')
organic bed sheet,8100,New,https://sundaycitizen.co/collections/organic-sheets,,high,972,Whitespace — plan new page,,none of the 5 rank top 7
sheets for cal king bed,18100,New,https://sundaycitizen.co/collections/california-king-sheets,,medium,814,Whitespace — plan new page,,none of the 5 rank top 7
silk robe,18100,New,https://sundaycitizen.co/collections/silk-robe,,medium,814,Whitespace — plan new page,,none of the 5 rank top 7
cotton blanket,18100,New,https://sundaycitizen.co/collections/cotton-blanket,,medium,814,Whitespace — plan new page,,none of the 5 rank top 7
luxury bedding sheets,6600,New,https://sundaycitizen.co/collections/luxury-sheets,,high,792,Whitespace — plan new page,,none of the 5 rank top 7
split king sheets,6600,New,https://sundaycitizen.co/collections/split-king-sheets,,high,792,Beat competitor,https://www.brooklinen.com/products/luxe-split-king-sheet-set,#5 brooklinen.com (for 'split king sheets')
luxury bedspread sets,6600,New,https://sundaycitizen.co/collections/luxury-bedspread,,high,792,Beat competitor,https://latestbedding.com/collections/comforter-sets,#1 latestbedding.com (for 'luxury bedspread sets')
egyptian cotton towels,14800,New,https://sundaycitizen.co/collections/cotton-towel,,medium,666,Whitespace — plan new page,,none of the 5 rank top 7
duvet covers queen,14800,New,https://sundaycitizen.co/collections/queen-duvet-cover,,medium,666,Beat competitor,https://www.potterybarn.com/shop/bedding/whites+duvet-covers-shams/sku-color-group-m-color-ff0018fe5f5f-1/,#4 potterybarn.com (for 'white queen duvet cover')
how to.put on a duvet cover,14800,New,https://sundaycitizen.co/pages/duvet-cover-size-guide,,medium,666,Whitespace — plan new page,,none of the 5 rank top 7
deep pocket sheets,14800,New,https://sundaycitizen.co/collections/deep-pocket-sheets,,medium,666,Whitespace — plan new page,,none of the 5 rank top 7
bamboo pillow,14800,New,https://sundaycitizen.co/collections/bamboo-pillow,,medium,666,Whitespace — plan new page,,none of the 5 rank top 7
how to put duvet inside cover,14800,New,https://sundaycitizen.co/pages/duvet-size-guide,,medium,666,Beat competitor,https://parachutehome.com/pages/size-guide-linen-duvet-cover,#6 parachutehome.com (for 'queen duvet size')
deep pocket bedding set,14800,New,https://sundaycitizen.co/collections/deep-pocket-bedding,,medium,666,Whitespace — plan new page,,none of the 5 rank top 7
waffle robe,5400,New,https://sundaycitizen.co/collections/waffle-robe,,high,648,Beat competitor,https://www.brooklinen.com/products/waffle-robe,#2 brooklinen.com (for 'waffle robe')
modal pajamas,5400,New,https://sundaycitizen.co/collections/modal-loungewear,,high,648,Whitespace — plan new page,,none of the 5 rank top 7
waffle towels,5400,New,https://sundaycitizen.co/collections/waffle-towel,,high,648,Beat competitor,https://www.brooklinen.com/collections/waffle-towels,#2 brooklinen.com (for 'waffle towels')
bathrobes waffle,5400,New,https://sundaycitizen.co/collections/waffle-bath-robe,,high,648,Beat competitor,https://parachutehome.com/products/waffle-robe-white,#5 parachutehome.com (for 'bathrobes waffle')
cotton sateen bedding sets,5400,New,https://sundaycitizen.co/collections/sateen-bedding,,high,648,Beat competitor,https://parachutehome.com/collections/sateen-bedding,#1 parachutehome.com (for 'cotton sateen bedding sets')
pajamas with shorts for women,5400,Existing,https://sundaycitizen.co/collections/loungewear,,high,648,Beat competitor,https://us.pigletinbed.com/collections/gingham-pajamas,#2 us.pigletinbed.com (for 'gingham pajamas')
luxury pillows,5400,New,https://sundaycitizen.co/collections/luxury-pillow,,high,648,Whitespace — plan new page,,none of the 5 rank top 7
bath rugs cotton,12100,New,https://sundaycitizen.co/collections/cotton-rug,,medium,544,Beat competitor,https://parachutehome.com/collections/rugs-and-mats,#3 parachutehome.com (for 'bathroom cotton rug')
twin xl comforter,12100,New,https://sundaycitizen.co/collections/twin-xl-comforter,,medium,544,Whitespace — plan new page,,none of the 5 rank top 7
bedding sets twin xl,12100,New,https://sundaycitizen.co/collections/twin-xl-bedding,,medium,544,Whitespace — plan new page,,none of the 5 rank top 7
bed sheet twin xl,12100,New,https://sundaycitizen.co/collections/twin-xl-sheets,,medium,544,Whitespace — plan new page,,none of the 5 rank top 7
bamboo comforter,4400,Existing,https://sundaycitizen.co/collections/premium-bamboo-comforters-duvets,,high,528,Whitespace — plan new page,,none of the 5 rank top 7
blankets and linen,4400,New,https://sundaycitizen.co/collections/linen-blanket,,high,528,Beat competitor,https://www.brooklinen.com/collections/quilts-bed-blankets,#5 brooklinen.com (for 'blanket and linen')
comforters linen,4400,New,https://sundaycitizen.co/collections/linen-comforter,,high,528,Beat competitor,https://www.brooklinen.com/collections/comforters,#6 brooklinen.com (for 'comforter linen')
cotton coverlet,4400,New,https://sundaycitizen.co/collections/cotton-coverlet,,high,528,Whitespace — plan new page,,none of the 5 rank top 7
best organic bedding,4400,New,https://sundaycitizen.co/collections/organic-bedding,,high,528,Beat competitor,https://www.brooklinen.com/collections/organic-sheets,#7 brooklinen.com (for 'best organic bedding')
hotel sheets,4400,New,https://sundaycitizen.co/collections/hotel-sheets,,high,528,Whitespace — plan new page,,none of the 5 rank top 7
cotton robes for women,9900,New,https://sundaycitizen.co/collections/cotton-robe,,medium,446,Whitespace — plan new page,,none of the 5 rank top 7
twin blankets,9900,New,https://sundaycitizen.co/collections/twin-blanket,,medium,446,Beat competitor,https://parachutehome.com/blogs/posts/twin-blanket-size-parachute-home,#4 parachutehome.com (for 'what is the size of a twin bed blanket')
rug size for queen bed,9900,New,https://sundaycitizen.co/collections/queen-rug,,medium,446,Whitespace — plan new page,,none of the 5 rank top 7
linen tea towels,9900,New,https://sundaycitizen.co/collections/linen-towel,,medium,446,Beat competitor,https://www.brooklinen.com/collections/waffle-towels,#7 brooklinen.com (for 'linen waffle towel')
linen pajamas,3600,New,https://sundaycitizen.co/collections/linen-loungewear,,high,432,Beat competitor,https://us.pigletinbed.com/collections/pajamas,#1 us.pigletinbed.com (for 'linen pajamas')
euro shams size,3600,New,https://sundaycitizen.co/pages/sham-size-guide,,high,432,Beat competitor,https://us.pigletinbed.com/blogs/the-piglet-journal/the-ultimate-guide-to-pillow-shams,#4 us.pigletinbed.com (for 'euro sham measurements')
organic cotton duvet covers,3600,New,https://sundaycitizen.co/collections/organic-cotton-duvet-cover,,high,432,Beat competitor,https://www.brooklinen.com/products/organic-duvet-cover,#4 brooklinen.com (for '100 organic cotton duvet covers')
bamboo towels paper,3600,New,https://sundaycitizen.co/collections/bamboo-towel,,high,432,Whitespace — plan new page,,none of the 5 rank top 7
organic cotton towel,3600,New,https://sundaycitizen.co/collections/organic-cotton-towel,,high,432,Beat competitor,https://us.pigletinbed.com/collections/organic-cotton-towels,#3 us.pigletinbed.com (for 'organic cotton towel')
organic cotton pillows,3600,New,https://sundaycitizen.co/collections/organic-cotton-pillow,,high,432,Whitespace — plan new page,,none of the 5 rank top 7
organic cotton blanket,3600,New,https://sundaycitizen.co/collections/organic-cotton-blanket,,high,432,Whitespace — plan new page,,none of the 5 rank top 7
