keyword,last_position,last_rank_absolute,search_volume,etv_when_ranking,keyword_difficulty,cpc,search_intent,lost_url,url_type,is_brand,last_seen
tempur-cloud luxe breeze mattress,3,4,50,4.9,0,2.8600001335144043,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-04-10 09:38:51 +00:00
cloud luxe breeze,2,3,30,4.9,0,2.4100000858306885,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-04-15 07:25:15 +00:00
luna chair by odd knutsen,2,4,30,4.9,0,0.3799999952316284,transactional,https://wassersfurniture.com/luna-low-back-chair.html,legacy .html,False,2026-02-06 23:40:54 +00:00
rossetto furniture,2,2,30,4.9,0,,navigational,https://wassersfurniture.com/shop-by-brand/r-z/rossetto-usa.html,legacy .html,False,2026-04-17 10:03:11 +00:00
rossetto furniture italy,2,2,30,4.9,0,,navigational,https://wassersfurniture.com/shop-by-brand/r-z/rossetto-usa.html,legacy .html,False,2026-04-17 10:03:25 +00:00
steamer trunk table,2,3,30,4.9,0,0.8500000238418579,transactional,https://wassersfurniture.com/steamer-trunk-coffee-table-on-display-quickship.html,legacy .html,False,2026-04-17 03:59:50 +00:00
african print chair,4,7,70,4.6,0,0.9300000071525574,transactional,https://wassersfurniture.com/swivel-chair-custom-african-print-fabric.html,legacy .html,False,2026-04-09 22:00:09 +00:00
ferguson copeland armoire,4,5,50,4.6,0,,navigational,https://wassersfurniture.com/fergusen-copeland-eglomise-armoire.html,legacy .html,False,2026-04-09 01:25:40 +00:00
sonos play:1 specifications,4,4,50,4.6,0,,informational,https://wassersfurniture.com/sonos-play-1.html,legacy .html,False,2026-03-23 22:39:09 +00:00
executive lounge chair,3,5,40,3.9,10,1.7300000190734863,transactional,https://wassersfurniture.com/furniture/homes-offices/executive-seating.html,legacy .html,False,2026-03-27 05:27:13 +00:00
gamma pretty chair,3,5,40,3.9,0,0.7300000190734863,transactional,https://wassersfurniture.com/gamma-pretty-chair.html,legacy .html,False,2026-03-11 06:12:13 +00:00
leather luna chair,3,4,40,3.9,0,0.05999999865889549,transactional,https://wassersfurniture.com/luna-low-back-chair.html,legacy .html,False,2026-04-14 10:18:23 +00:00
luna leather chair,3,6,40,3.9,0,0.05999999865889549,transactional,https://wassersfurniture.com/luna-low-back-chair.html,legacy .html,False,2026-04-14 08:47:28 +00:00
monte white rockwell bassinet,3,5,40,3.9,0,1.2000000476837158,transactional,https://wassersfurniture.com/bassinet-monte-design-rockwell-bassinet.html,legacy .html,False,2026-03-27 04:18:39 +00:00
sonos 3 dimensions,3,5,40,3.9,0,,informational,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-04-13 14:38:41 +00:00
sonos :3 dimensions,3,5,40,3.9,0,,informational,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-04-13 14:38:34 +00:00
stone international dining table,3,3,40,3.9,0,2.700000047683716,transactional,https://wassersfurniture.com/shop-by-brand/r-z/stone-international.html,legacy .html,False,2026-04-17 03:42:40 +00:00
stone international dining tables,3,3,40,3.9,0,2.700000047683716,transactional,https://wassersfurniture.com/shop-by-brand/r-z/stone-international.html,legacy .html,False,2026-04-17 03:42:15 +00:00
joya rocker,3,4,30,3.9,0,1.5,informational,https://wassersfurniture.com/chair-monte-design-joya-nursery-rocking-chair.html,legacy .html,False,2026-03-27 02:29:40 +00:00
milo baughman thayer coggin sectional,3,4,30,3.9,0,0.1899999976158142,navigational,https://wassersfurniture.com/thayer-coggin-design-classic-825-sectional-sofa-milo-baughman.html,legacy .html,False,2026-04-18 00:44:27 +00:00
54 inch round glass table top,6,9,110,3.7,0,2.7100000381469727,transactional,https://wassersfurniture.com/glass-table-top-54-round-quickship.html,legacy .html,False,2026-03-22 13:38:13 +00:00
newport cottages crib,6,7,110,3.7,0,2.9600000381469727,navigational,https://wassersfurniture.com/newport-cottages-casey-crib.html,legacy .html,False,2026-05-03 04:17:18 +00:00
monte dorma bed,4,7,50,3.3,0,3.569999933242798,transactional,https://wassersfurniture.com/monte-design-dorma-twin-bed-with-trundle.html,legacy .html,False,2026-04-11 02:15:43 +00:00
shaw bed,4,7,50,3.3,0,1.1800000667572021,transactional,https://wassersfurniture.com/american-leather-shaw-bed-in-stock-on-display-quickship.html,legacy .html,False,2026-03-26 07:50:28 +00:00
white steamer trunk coffee table,4,8,50,3.3,0,1.649999976158142,transactional,https://wassersfurniture.com/steamer-trunk-coffee-table-on-display-quickship.html,legacy .html,False,2025-07-26 11:56:30 +00:00
sonos play:3 specifications,4,5,40,3.3,0,0.7200000286102295,informational,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-03-25 19:45:22 +00:00
ming coffee table vintage,3,5,30,2.9,0,0.23000000417232513,transactional,https://wassersfurniture.com/vintage-ming-coffee-table.html,legacy .html,False,2026-04-18 02:28:57 +00:00
newport cottage dresser,3,4,30,2.9,0,2.2699999809265137,navigational,https://wassersfurniture.com/newport-cottages-astoria-dresser.html,legacy .html,False,2026-04-17 21:38:02 +00:00
newport cottages dresser,3,3,30,2.9,0,2.2699999809265137,navigational,https://wassersfurniture.com/newport-cottages-astoria-dresser.html,legacy .html,False,2026-04-17 21:41:30 +00:00
pablo light bench,3,3,30,2.9,0,0.33000001311302185,transactional,https://wassersfurniture.com/pablo-light-bench.html,legacy .html,False,2026-03-28 12:55:44 +00:00
american leather parker sofa,7,10,110,2.8,0,0.7900000214576721,transactional,https://wassersfurniture.com/american-leather-parker-leather-sofa-showroom-sample-sale.html,legacy .html,False,2026-05-04 04:49:11 +00:00
steamer trunk side table,4,6,40,2.6,0,0.3499999940395355,transactional,https://wassersfurniture.com/steamer-trunk-coffee-table-on-display-quickship.html,legacy .html,False,2026-04-13 14:07:59 +00:00
missoni pouf sale,4,6,30,2.6,0,1.3700000047683716,transactional,https://wassersfurniture.com/missoni-home-patch-cylinder-ottoman-pouf-16-x-12-free-pickup-free-shipping.html,legacy .html,False,2026-04-14 05:10:53 +00:00
american leather comfort recliner,6,11,70,2.4,0,1.409999966621399,transactional,https://wassersfurniture.com/shop-by-brand/a-c/american-leather/comfort-recliner-by-american-leather.html,legacy .html,False,2026-04-09 21:54:49 +00:00
sonos play:1 specs,6,8,50,2.4,0,,informational,https://wassersfurniture.com/sonos-play-1.html,legacy .html,False,2026-03-23 22:39:39 +00:00
oriental weavers rug pad,5,6,50,2.3,0,2.619999885559082,transactional,https://wassersfurniture.com/oriental-weavers-5-x-8-premiere-grip-all-in-one-rug-pad-748679210060.html,legacy .html,False,2026-04-10 22:29:52 +00:00
bernhardt zola chair,9,12,140,2.1,0,1.1800000667572021,transactional,https://wassersfurniture.com/bernhardt-interiors-zola-accent-chair-n8103.html,legacy .html,False,2026-05-02 09:40:58 +00:00
shabbos table,9,11,110,2.1,0,0.6899999976158142,transactional,https://wassersfurniture.com/furniture/diningroom/shabbos-tables.html?p=4,legacy category,False,2026-05-01 12:15:24 +00:00
river stone table,4,7,30,2.0,0,1.4199999570846558,transactional,https://wassersfurniture.com/phillips-collection-river-stone-cocktail-table.html,legacy .html,False,2026-03-28 08:05:37 +00:00
romina cleopatra crib,4,4,30,2.0,0,3.180000066757202,informational,https://wassersfurniture.com/romina-furniture-cleopatra-classic-crib.html,legacy .html,False,2026-03-28 07:49:58 +00:00
sonneman table lamp,4,7,30,2.0,0,0.9200000166893005,transactional,https://wassersfurniture.com/vintage-sonneman-suspended-table-lamp.html,legacy .html,False,2026-04-17 05:54:15 +00:00
sonos connect 1,4,7,30,2.0,0,,navigational,https://wassersfurniture.com/sonos-connect-amp.html,legacy .html,False,2026-03-09 06:02:54 +00:00
sonos connect:amp speakers,4,7,30,2.0,0,0.6100000143051147,navigational,https://wassersfurniture.com/sonos-connect-amp.html,legacy .html,False,2026-03-28 04:20:10 +00:00
toulet billard,4,4,20,2.0,0,1.3899999856948853,transactional,https://wassersfurniture.com/shop-by-brand/r-z/toulet-billiard.html,legacy .html,False,2026-03-27 23:21:30 +00:00
riverstone table,5,7,50,1.9,0,1.6600000858306885,transactional,https://wassersfurniture.com/phillips-collection-river-stone-cocktail-table.html,legacy .html,False,2026-04-13 18:05:30 +00:00
carrol boyes tray,5,7,40,1.9,0,,transactional,https://wassersfurniture.com/shop-by-brand/a-c/carrol-boyes.html,legacy .html,False,2026-03-27 11:26:41 +00:00
black steamer trunk coffee table,7,12,70,1.8,0,1.25,transactional,https://wassersfurniture.com/steamer-trunk-coffee-table-on-display-quickship.html,legacy .html,False,2026-03-25 23:32:02 +00:00
american leather factory outlet,7,9,50,1.8,0,2.140000104904175,navigational,https://wassersfurniture.com/shop-by-brand/a-c/american-leather.html,legacy .html,False,2026-03-07 10:04:10 +00:00
tempur-cloud supreme breeze mattress,7,11,50,1.8,0,3.3600001335144043,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-04-07 16:45:08 +00:00
dreamweaver rugs pebbles,8,10,20,1.8,0,0.44999998807907104,transactional,https://wassersfurniture.com/dreamweavers-shimmer-pebble-platinum-white-in-stock-ready-to-ship.html,legacy .html,False,2026-03-22 08:15:59 +00:00
solis lamp,6,8,90,1.7,0,1.4300000667572021,transactional,https://wassersfurniture.com/pablo-solis.html,legacy .html,False,2026-03-26 22:23:39 +00:00
54 in glass table top,6,8,50,1.7,0,1.600000023841858,transactional,https://wassersfurniture.com/glass-table-top-54-round-quickship.html,legacy .html,False,2025-12-21 09:05:10 +00:00
