keyword,search_volume,expected_traffic_pos3,cpc,keyword_difficulty,competitors_ranking,competitor_list,sc_current_position,theme,sc_product_line,recommended_action,target_page_type,target_handle_or_url,target_page_title
duvets and duvet covers,165000,16500,2.48,24,1,expansion,,duvet cover,"— (category page, all fabrics)",optimize existing,collection,/collections/duvet-covers,Duvet Covers
duvets with covers,165000,16500,2.48,,1,expansion,,duvet,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters-duvets,Comforters + Duvets
alaska king bedding,165000,16500,1.96,,1,expansion,,alaskan king / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/alaskan-king-bedding,Alaskan King Bedding
alaskan king bedding,165000,16500,1.96,,1,expansion,,alaskan king / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/alaskan-king-bedding,Alaskan King Bedding
bedding sizing,165000,16500,0.67,9,1,expansion,,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
toddler bedding,165000,16500,0.81,,1,expansion,,toddler / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/toddler-bedding,Toddler Bedding
size king bedding,135000,13500,3.27,2,1,expansion,,king / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/king-bedding,King Bedding
pregnancy pillow,135000,13500,1.3,18,1,expansion,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
weighted blanket,135000,13500,2.22,20,2,"expansion,sc-material",,weighted blanket,Crystal Weighted Blanket,optimize existing,collection,/collections/weighted-blankets,crystal weighted blankets
queen bedding dimensions,135000,13500,1.44,,1,expansion,,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
queen bedding measurements,135000,13500,1.44,,1,expansion,,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
bed sheets,110000,11000,2.8,7,2,"brooklinen.com,pigletinbed.com",,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
bedding sets,110000,11000,2.8,2,3,"brooklinen.com,parachutehome.com,potterybarn.com",,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
comforter,110000,11000,2.21,7,1,brooklinen.com,,comforter,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters,Comforters
duvets,110000,11000,2.96,5,1,brooklinen.com,,duvet,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters-duvets,Comforters + Duvets
bed sheet,110000,11000,2.8,,1,brooklinen.com,,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
bedding set,110000,11000,2.8,2,2,"brooklinen.com,potterybarn.com",,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
full size bedding,110000,11000,1.68,,3,"brooklinen.com,latestbedding.com,potterybarn.com",,full / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/full-bedding,Full Bedding
comforters,110000,11000,2.21,2,2,"parachutehome.com,potterybarn.com",,comforter,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters,Comforters
robe,110000,11000,1.41,5,1,expansion,,robe,"— (category page, all fabrics)",optimize existing,collection,/collections/robes-kimonos,Robes + Kimonos
robes,110000,11000,1.41,3,1,parachutehome.com,,robe,"— (category page, all fabrics)",optimize existing,collection,/collections/robes-kimonos,Robes + Kimonos
quilt store near me,110000,11000,0.75,20,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilt shop close to me,110000,11000,0.75,,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilt stores near me,110000,11000,0.75,,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilt shops.near me,110000,11000,0.75,,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilt shops close to me,110000,11000,0.75,,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilt shops near me,110000,11000,0.75,6,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilts store near me,110000,11000,0.75,20,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilts stores near me,110000,11000,0.75,20,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilts shops near me,110000,11000,0.75,7,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
full size bedding measurements,110000,11000,1.26,,1,expansion,,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
full size bedding dimensions,110000,11000,1.26,,1,expansion,,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
towels for towel warmer,110000,11000,1.02,,1,expansion,,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
warming towels,110000,11000,1.02,9,1,expansion,,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
warmer for towels,110000,11000,1.02,1,1,expansion,,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
warm towels,110000,11000,1.02,,1,expansion,,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
bedding setting,110000,11000,2.8,2,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
bedding sheet,110000,11000,2.8,20,1,expansion,,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
linens,90500,9050,2.65,,1,brooklinen.com,,general bedding,"— (category page, all fabrics)",build new collection,collection,/collections/bedding,Bedding
towels,90500,9050,2.04,,2,"brooklinen.com,parachutehome.com",,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
duvet set cotton,90500,9050,1.86,,2,"brooklinen.com,pigletinbed.com",,cotton / duvet,Cotton (Luce Sateen / Organic / Woven),build new collection,collection,/collections/cotton-duvet,Cotton Duvet
duvet sets cotton,90500,9050,1.86,,2,"brooklinen.com,pigletinbed.com",,cotton / duvet,Cotton (Luce Sateen / Organic / Woven),build new collection,collection,/collections/cotton-duvet,Cotton Duvet
cotton duvet cover,90500,9050,1.86,3,3,"brooklinen.com,parachutehome.com,pigletinbed.com",,cotton / duvet cover,Cotton (Luce Sateen / Organic / Woven),build new collection,collection,/collections/cotton-duvet-cover,Cotton Duvet Cover
towel,90500,9050,2.04,,3,"expansion,parachutehome.com,pigletinbed.com",,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
duvet cotton covers,90500,9050,1.86,3,1,expansion,,cotton / duvet,Cotton (Luce Sateen / Organic / Woven),build new collection,collection,/collections/cotton-duvet,Cotton Duvet
linen,90500,9050,2.65,21,1,parachutehome.com,,linen,European Flax Linacel,build new collection,collection,/collections/linen-collection,Linen Collection
bedding size queen,90500,9050,2.33,,1,expansion,,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
queen beds bedding,90500,9050,2.7,,1,expansion,,queen / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/queen-bedding,Queen Bedding
squishmallow pillow,90500,9050,0.43,,1,expansion,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
quilt and fabric,90500,9050,0.77,9,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilt fabrics,90500,9050,0.77,,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilt cloth,90500,9050,0.77,3,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilt fabric material,90500,9050,0.77,,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilt material,90500,9050,0.77,4,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
fabric-quilt,90500,9050,0.77,,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilt materials,90500,9050,0.77,8,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
fabric for quilt making,90500,9050,0.77,8,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
cloth for quilts,90500,9050,0.77,,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
fabrics for quilts,90500,9050,0.77,,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
fabric quilts,90500,9050,0.77,3,1,expansion,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
cotton covered duvets,90500,9050,1.86,3,1,expansion,,cotton / duvet,Cotton (Luce Sateen / Organic / Woven),build new collection,collection,/collections/cotton-duvet,Cotton Duvet
cloud towels,90500,9050,0.22,,1,expansion,,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
sand towels,90500,9050,0.22,,1,expansion,,towel,"— (category page, all fabrics)",optimize existing,collection,/collections/bath,Bath
platform bedding,90500,9050,2.53,1,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
queens bedding,90500,9050,2.7,,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
sleep number bedding,90500,9050,6.85,11,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
platform beds bedding,90500,9050,2.53,,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
luxury bed comforters,74000,7400,5.18,,2,"brooklinen.com,latestbedding.com",,luxury / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/luxury-comforter,Luxury Comforter
luxury bedroom comforters,74000,7400,5.18,,2,"brooklinen.com,latestbedding.com",,luxury / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/luxury-comforter,Luxury Comforter
luxury bedroom comforter,74000,7400,5.18,,2,"brooklinen.com,latestbedding.com",,luxury / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/luxury-comforter,Luxury Comforter
luxury bedding,74000,7400,5.18,,1,brooklinen.com,,luxury / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/luxury-bedding,Luxury Bedding
bedding furniture,74000,7400,2.55,12,1,brooklinen.com,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
blankets and throws,74000,7400,1.23,23,1,brooklinen.com,,throw,"— (category page, all fabrics)",optimize existing,collection,/collections/throws,Throws
throw and blankets,74000,7400,1.23,1,2,"brooklinen.com,potterybarn.com",,throw,"— (category page, all fabrics)",optimize existing,collection,/collections/throws,Throws
blanket and throws,74000,7400,1.23,7,1,potterybarn.com,,throw,"— (category page, all fabrics)",optimize existing,collection,/collections/throws,Throws
body pillows,74000,7400,0.98,,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
twin bedding measurements,74000,7400,1.16,,3,"expansion,parachutehome.com,pigletinbed.com",,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
body pillow,74000,7400,0.98,,1,parachutehome.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
pillow pets,74000,7400,0.46,4,1,expansion,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
luxury bed comforter,74000,7400,5.18,,1,expansion,,luxury / comforter,"— (category page, all fabrics)",build new collection,collection,/collections/luxury-comforter,Luxury Comforter
throw blankets blanket,74000,7400,1.23,,1,expansion,,throw,"— (category page, all fabrics)",optimize existing,collection,/collections/throws,Throws
twin bedding dimensions,74000,7400,1.16,,1,expansion,,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
canopy bedding,74000,7400,1.33,,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
bedding jet,74000,7400,0.74,7,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
upscale bedding,74000,7400,5.18,18,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
blanket for cooling,74000,7400,1.92,9,1,sc-material,,cooling / blanket,Cloud Cool / Cooling Edit,build new collection,collection,/collections/cooling-blanket,Cooling Blanket
linens sheets,60500,6050,4.25,,2,"brooklinen.com,pigletinbed.com",,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
