domain,category,keywords_in_space,etv_in_space,traffic_share_pct,avg_position,visibility
lulus.com,brand/retail,118,7830,0.04,30.0,12.5
quiltbatting.com,brand/retail,4,7798,0.04,1.2,3.9
usa.yvesdelorme.com,brand/retail,43,7748,0.04,14.2,14.1
canva.com,brand/retail,21,7743,0.04,10.2,10.6
dissh.com,brand/retail,79,7729,0.04,21.7,16.8
altardstate.com,brand/retail,48,7725,0.04,15.7,11.3
qcnys.org,brand/retail,3,7711,0.04,53.3,0.7
pillowdecor.com,brand/retail,57,7689,0.04,24.2,13.9
brawny.com,brand/retail,5,7632,0.04,3.4,3.8
fabricwholesaledirect.com,brand/retail,28,7562,0.04,17.1,8.9
sewing.net,brand/retail,2,7480,0.04,43.0,0.7
cvlinens.com,brand/retail,25,7413,0.04,7.9,10.9
dictionary.cambridge.org,brand/retail,14,7401,0.04,6.9,9.2
cnet.com,publisher,141,7394,0.04,27.5,12.4
slow-roads.com,brand/retail,2,7357,0.04,1.0,2.0
benfranklinonline.com,brand/retail,2,7349,0.04,2.5,1.7
barnquiltheadquarters.com,brand/retail,3,7322,0.04,1.3,2.9
petalandpup.com,brand/retail,79,7308,0.04,17.9,17.8
jossandmain.com,brand/retail,306,7270,0.04,26.0,13.7
abercrombie.com,brand/retail,84,7267,0.04,16.7,19.4
cottonweeds.square.site,brand/retail,1,7249,0.04,4.0,0.7
sleepdoctor.com,brand/retail,129,7140,0.04,27.4,10.3
gorillagrip.com,brand/retail,58,7130,0.04,13.5,24.3
legendarywhitetails.com,brand/retail,6,7092,0.04,8.0,3.8
hsn.com,brand/retail,119,7038,0.04,35.0,0.3
holylamborganics.com,brand/retail,27,7007,0.04,12.9,10.2
architecturaldigest.com,publisher,180,6991,0.04,22.4,19.9
jackmansfabrics.com,brand/retail,7,6981,0.04,20.7,1.4
zara.com,brand/retail,136,6971,0.04,19.6,23.8
moores-sew.com,brand/retail,3,6946,0.04,7.0,2.0
overstocksheetclub.com,brand/retail,11,6923,0.04,4.3,7.6
nordicware.com,brand/retail,6,6886,0.04,7.5,3.5
businessinsider.com,publisher,144,6871,0.04,27.9,12.5
anyutacouture.com,brand/retail,4,6849,0.04,4.0,2.8
matouk.com,brand/retail,42,6847,0.04,22.8,11.1
slip.com,brand/retail,21,6836,0.04,12.6,9.8
retrobarn.com,brand/retail,15,6790,0.04,11.9,5.8
freshlypieced.com,brand/retail,8,6773,0.04,8.5,4.6
fishersfinery.com,brand/retail,44,6755,0.03,23.6,16.8
perigold.com,brand/retail,309,6719,0.03,24.5,18.9
uniqlo.com,brand/retail,76,6700,0.03,14.8,22.8
laundrybasketquilts.com,brand/retail,6,6610,0.03,12.3,3.1
buffy.co,brand/retail,12,6593,0.03,7.7,7.7
tableclothfactory.com,brand/retail,3,6586,0.03,27.0,0.9
mybrestfriend.com,brand/retail,15,6581,0.03,3.7,11.7
showmeyourmumu.com,brand/retail,39,6574,0.03,19.0,10.7
shopcaterpillar.com,brand/retail,1,6561,0.03,2.0,0.9
mypillow.com,brand/retail,25,6528,0.03,35.2,0.7
serenaandlily.com,brand/retail,117,6500,0.03,24.5,12.1
seatosummit.com,brand/retail,13,6486,0.03,8.7,6.2
viscosoft.com,brand/retail,42,6460,0.03,20.5,6.6
premieryarns.com,brand/retail,12,6438,0.03,10.8,6.1
stonemountainfabric.com,brand/retail,29,6390,0.03,23.0,8.1
printerpix.com,brand/retail,8,6370,0.03,20.5,2.4
ostrichpillow.com,brand/retail,13,6349,0.03,9.3,6.7
robemart.com,brand/retail,107,6349,0.03,23.9,27.6
jjill.com,brand/retail,20,6338,0.03,16.2,6.7
eliandelm.com,brand/retail,66,6329,0.03,27.7,7.5
slowtide.co,brand/retail,14,6322,0.03,10.4,6.3
solinohome.com,brand/retail,10,6205,0.03,17.2,3.1
